"Result","row.name","b"
"result.1","b+b","0.75"
"result.1","b+bb","0.25"
"","",""
"Result","row.name","d"
"result.2","d+d","0.75"
"result.2","d+dd","0.25"
"","",""
"Result","row.name","ð"
"result.3","ð+th","1"
"","",""
"Result","row.name","ə"
"result.4","ə+e","0.5"
"result.4","ə+o","0.5"
"","",""
"Result","row.name","ɚ"
"result.5","ɚ+e","1"
"","",""
"Result","row.name","f"
"result.6","f+f","0.6666667"
"result.6","f+ph","0.3333333"
"","",""
"Result","row.name","g"
"result.7","g+g","1"
"","",""
"Result","row.name","j"
"result.8","j+y","1"
"","",""
"Result","row.name","k"
"result.9","k+c","0.4285714"
"result.9","k+k","0.5714286"
"","",""
"Result","row.name","l"
"result.10","l+l","0.3333333"
"result.10","l+ll","0.6666667"
"","",""
"Result","row.name","m"
"result.11","m+m","0.75"
"result.11","m+mm","0.25"
"","",""
"Result","row.name","n"
"result.12","n+n","0.8"
"result.12","n+nn","0.2"
"","",""
"Result","row.name","p"
"result.13","p+p","0.625"
"result.13","p+pp","0.375"
"","",""
"Result","row.name","r"
"result.14","r+r","0.3333333"
"result.14","r+rr","0.6666667"
"","",""
"Result","row.name","s"
"result.15","s+c","0.25"
"result.15","s+s","0.25"
"result.15","s+ss","0.25"
"result.15","s+z","0.25"
"","",""
"Result","row.name","t"
"result.16","t+t","0.3333333"
"result.16","t+tt","0.6666667"
"","",""
"Result","row.name","tʃ"
"result.17","tʃ+tch","1"
"","",""
"Result","row.name","z"
"result.18","z+ss","1"
"","",""
"Result","row.name","θ"
"result.19","θ+th","1"
"","",""
