"Result","row.name","ɑ"
"result.1","ɑ+a","0.5"
"result.1","ɑ+o","0.5"
"","",""
"Result","row.name","æ"
"result.2","æ+a","1"
"","",""
"Result","row.name","aɪ"
"result.3","aɪ+eye","0.3333333"
"result.3","aɪ+i","0.3333333"
"result.3","aɪ+i_e","0.3333333"
"","",""
"Result","row.name","aʊ"
"result.4","aʊ+ou","1"
"","",""
"Result","row.name","b"
"result.5","b+b","1"
"","",""
"Result","row.name","ɔ"
"result.6","ɔ+a","0.5"
"result.6","ɔ+o","0.5"
"","",""
"Result","row.name","d"
"result.7","d+d","1"
"","",""
"Result","row.name","ð"
"result.8","ð+th","1"
"","",""
"Result","row.name","dʒ"
"result.9","dʒ+j","1"
"","",""
"Result","row.name","ə"
"result.10","ə+a","1"
"","",""
"Result","row.name","eɪ"
"result.11","eɪ+a","1"
"","",""
"Result","row.name","ɛ"
"result.12","ɛ+ai","0.3333333"
"result.12","ɛ+e","0.6666667"
"","",""
"Result","row.name","f"
"result.13","f+f","1"
"","",""
"Result","row.name","g"
"result.14","g+g","1"
"","",""
"Result","row.name","h"
"result.15","h+h","1"
"","",""
"Result","row.name","i"
"result.16","i+ea","1"
"","",""
"Result","row.name","ɪ"
"result.17","ɪ+ea","0.3333333"
"result.17","ɪ+i","0.6666667"
"","",""
"Result","row.name","j"
"result.18","j+y","1"
"","",""
"Result","row.name","k"
"result.19","k+c","0.7894737"
"result.19","k+k","0.2105263"
"","",""
"Result","row.name","l"
"result.20","l+l","1"
"","",""
"Result","row.name","m"
"result.21","m+m","1"
"","",""
"Result","row.name","n"
"result.22","n+kn","0.2"
"result.22","n+n","0.8"
"","",""
"Result","row.name","p"
"result.23","p+p","1"
"","",""
"Result","row.name","r"
"result.24","r+r","1"
"","",""
"Result","row.name","s"
"result.25","s+s","0.94117647"
"result.25","s+sc","0.05882353"
"","",""
"Result","row.name","ʃ"
"result.26","ʃ+sh","1"
"","",""
"Result","row.name","t"
"result.27","t+t","1"
"","",""
"Result","row.name","tʃ"
"result.28","tʃ+ch","1"
"","",""
"Result","row.name","ʌ"
"result.29","ʌ+u","1"
"","",""
"Result","row.name","w"
"result.30","w+w","0.8333333"
"result.30","w+wh","0.1666667"
"","",""
"Result","row.name","z"
"result.31","z+z","1"
"","",""
